product_line,total,sales_status
"Food and beverages",336.56,Good
"Health and beauty",131.92,Bad
"Sports and travel",132.56,Bad
"Health and beauty",480.03,Good
"Fashion accessories",45.11,Bad
"Sports and travel",510.97,Good
"Home and lifestyle",93.11,Bad
"Fashion accessories",614.94,Good
"Sports and travel",441.59,Good
"Food and beverages",248.41,Bad
"Fashion accessories",137.00,Bad
"Electronic accessories",486.44,Good
"Fashion accessories",85.51,Bad
"Fashion accessories",402.27,Good
"Home and lifestyle",329.20,Good
"Electronic accessories",192.84,Bad
"Food and beverages",151.52,Bad
"Electronic accessories",484.97,Good
"Health and beauty",489.05,Good
"Sports and travel",440.94,Good
"Electronic accessories",250.71,Bad
"Fashion accessories",624.33,Good
"Home and lifestyle",203.55,Bad
"Health and beauty",217.18,Bad
"Sports and travel",328.76,Good
"Food and beverages",305.55,Bad
"Fashion accessories",472.31,Good
"Food and beverages",609.17,Good
"Health and beauty",290.08,Bad
"Health and beauty",110.09,Bad
"Electronic accessories",394.63,Good
"Health and beauty",132.03,Bad
"Fashion accessories",252.76,Bad
"Electronic accessories",356.33,Good
"Electronic accessories",142.00,Bad
"Food and beverages",165.65,Bad
"Fashion accessories",736.44,Good
"Home and lifestyle",587.66,Good
"Electronic accessories",616.98,Good
"Fashion accessories",102.40,Bad
"Home and lifestyle",843.03,Good
"Electronic accessories",423.15,Good
"Sports and travel",921.19,Good
"Fashion accessories",165.45,Bad
"Home and lifestyle",484.89,Good
"Fashion accessories",195.72,Bad
"Home and lifestyle",297.11,Bad
"Food and beverages",463.89,Good
"Food and beverages",331.13,Good
"Health and beauty",734.71,Good
"Home and lifestyle",127.26,Bad
"Health and beauty",239.40,Bad
"Sports and travel",352.67,Good
"Sports and travel",674.00,Good
"Sports and travel",737.76,Good
"Sports and travel",140.65,Bad
"Electronic accessories",135.45,Bad
"Electronic accessories",235.75,Bad
"Food and beverages",71.16,Bad
"Home and lifestyle",106.60,Bad
"Health and beauty",608.20,Good
"Food and beverages",164.43,Bad
"Food and beverages",314.54,Bad
"Sports and travel",57.17,Bad
"Home and lifestyle",548.18,Good
"Electronic accessories",743.82,Good
"Electronic accessories",26.72,Bad
"Food and beverages",232.64,Bad
"Health and beauty",545.37,Good
"Health and beauty",503.74,Good
"Food and beverages",234.10,Bad
"Food and beverages",72.43,Bad
"Fashion accessories",51.15,Bad
"Sports and travel",561.08,Good
"Electronic accessories",49.42,Bad
"Electronic accessories",80.37,Bad
"Sports and travel",84.76,Bad
"Sports and travel",153.05,Bad
"Fashion accessories",398.48,Good
"Food and beverages",208.68,Bad
"Sports and travel",732.27,Good
"Electronic accessories",203.93,Bad
"Food and beverages",186.23,Bad
"Food and beverages",101.81,Bad
"Health and beauty",106.50,Bad
"Home and lifestyle",103.13,Bad
"Fashion accessories",145.59,Bad
"Sports and travel",113.57,Bad
"Electronic accessories",99.33,Bad
"Food and beverages",251.72,Bad
"Electronic accessories",733.60,Good
"Food and beverages",417.56,Good
"Health and beauty",85.59,Bad
"Home and lifestyle",100.13,Bad
"Food and beverages",167.03,Bad
"Health and beauty",527.51,Good
"Electronic accessories",87.23,Bad
"Health and beauty",697.94,Good
"Fashion accessories",299.85,Bad
"Fashion accessories",184.11,Bad
"Electronic accessories",708.32,Good
"Electronic accessories",731.69,Good
"Fashion accessories",652.89,Good
"Fashion accessories",742.30,Good
"Health and beauty",75.47,Bad
"Food and beverages",247.59,Bad
"Fashion accessories",291.21,Bad
"Fashion accessories",207.59,Bad
"Fashion accessories",13.42,Bad
"Home and lifestyle",255.18,Bad
"Fashion accessories",539.34,Good
"Electronic accessories",769.10,Good
"Fashion accessories",151.28,Bad
"Fashion accessories",383.76,Good
"Sports and travel",166.01,Bad
"Food and beverages",137.87,Bad
"Home and lifestyle",415.23,Good
"Sports and travel",499.73,Good
"Electronic accessories",193.01,Bad
"Health and beauty",145.97,Bad
"Home and lifestyle",225.28,Bad
"Fashion accessories",93.74,Bad
"Health and beauty",550.37,Good
"Health and beauty",309.36,Bad
"Fashion accessories",408.49,Good
"Electronic accessories",272.58,Bad
"Health and beauty",91.40,Bad
"Food and beverages",367.04,Good
"Electronic accessories",416.18,Good
"Food and beverages",90.83,Bad
"Food and beverages",103.82,Bad
"Electronic accessories",181.07,Bad
"Home and lifestyle",263.13,Bad
"Home and lifestyle",228.12,Bad
"Sports and travel",944.62,Good
"Electronic accessories",87.23,Bad
"Home and lifestyle",72.93,Bad
"Home and lifestyle",325.37,Good
"Food and beverages",313.57,Bad
"Health and beauty",681.44,Good
"Sports and travel",471.03,Good
"Fashion accessories",85.11,Bad
"Electronic accessories",80.22,Bad
"Electronic accessories",57.88,Bad
"Sports and travel",224.44,Bad
"Home and lifestyle",441.76,Good
"Electronic accessories",820.37,Good
"Health and beauty",76.76,Bad
"Fashion accessories",535.37,Good
"Food and beverages",829.08,Good
"Sports and travel",827.09,Good
"Sports and travel",71.53,Bad
"Electronic accessories",103.78,Bad
"Health and beauty",42.37,Bad
"Food and beverages",767.03,Good
"Health and beauty",362.82,Good
"Home and lifestyle",1003.59,Good
"Home and lifestyle",270.02,Bad
"Food and beverages",290.43,Bad
"Food and beverages",154.13,Bad
"Home and lifestyle",14.68,Bad
"Home and lifestyle",763.47,Good
"Electronic accessories",88.70,Bad
"Food and beverages",56.41,Bad
"Health and beauty",272.66,Bad
"Home and lifestyle",491.09,Good
"Electronic accessories",285.71,Bad
"Food and beverages",74.46,Bad
"Fashion accessories",586.97,Good
"Sports and travel",545.06,Good
"Home and lifestyle",103.11,Bad
"Fashion accessories",175.92,Bad
"Home and lifestyle",33.94,Bad
"Electronic accessories",118.25,Bad
"Food and beverages",781.62,Good
"Health and beauty",359.21,Good
"Electronic accessories",344.40,Good
"Home and lifestyle",338.22,Good
"Fashion accessories",93.74,Bad
"Health and beauty",367.55,Good
"Food and beverages",197.93,Bad
"Electronic accessories",104.67,Bad
"Food and beverages",453.50,Good
"Sports and travel",723.24,Good
"Electronic accessories",203.18,Bad
"Home and lifestyle",237.43,Bad
"Fashion accessories",96.58,Bad
"Electronic accessories",210.97,Bad
"Sports and travel",348.31,Good
"Fashion accessories",193.46,Bad
"Health and beauty",187.32,Bad
"Fashion accessories",128.02,Bad
"Home and lifestyle",603.62,Good
"Fashion accessories",463.43,Good
"Electronic accessories",680.61,Good
"Home and lifestyle",299.57,Bad
"Food and beverages",404.54,Good
"Food and beverages",121.59,Bad
"Electronic accessories",864.57,Good
"Health and beauty",100.92,Bad
"Health and beauty",130.88,Bad
"Fashion accessories",474.35,Good
"Fashion accessories",310.04,Bad
"Health and beauty",390.80,Good
"Sports and travel",184.09,Bad
"Fashion accessories",1020.71,Good
"Food and beverages",173.21,Bad
"Electronic accessories",575.32,Good
"Home and lifestyle",69.72,Bad
"Electronic accessories",63.26,Bad
"Food and beverages",308.57,Bad
"Sports and travel",66.87,Bad
"Sports and travel",410.51,Good
"Health and beauty",216.44,Bad
"Food and beverages",935.27,Good
"Sports and travel",77.67,Bad
"Food and beverages",164.87,Bad
"Electronic accessories",65.60,Bad
"Fashion accessories",13.17,Bad
"Electronic accessories",75.78,Bad
"Health and beauty",950.25,Good
"Home and lifestyle",91.06,Bad
"Sports and travel",195.95,Bad
"Food and beverages",1034.46,Good
"Food and beverages",356.55,Good
"Home and lifestyle",242.68,Bad
"Sports and travel",84.98,Bad
"Sports and travel",77.93,Bad
"Sports and travel",295.69,Bad
"Food and beverages",829.71,Good
"Fashion accessories",164.68,Bad
"Fashion accessories",145.07,Bad
"Home and lifestyle",705.63,Good
"Health and beauty",160.21,Bad
"Fashion accessories",267.34,Bad
"Fashion accessories",202.34,Bad
"Sports and travel",345.79,Good
"Fashion accessories",170.88,Bad
"Home and lifestyle",99.75,Bad
"Health and beauty",321.77,Bad
"Fashion accessories",115.19,Bad
"Home and lifestyle",216.85,Bad
"Electronic accessories",63.32,Bad
"Health and beauty",28.42,Bad
"Home and lifestyle",383.52,Good
"Sports and travel",590.44,Good
"Electronic accessories",451.71,Good
"Sports and travel",140.39,Bad
"Fashion accessories",213.53,Bad
"Health and beauty",293.14,Bad
"Home and lifestyle",1022.49,Good
"Food and beverages",211.37,Bad
"Home and lifestyle",793.72,Good
"Home and lifestyle",633.99,Good
"Home and lifestyle",68.99,Bad
"Fashion accessories",32.15,Bad
"Home and lifestyle",252.04,Bad
"Home and lifestyle",263.97,Bad
"Fashion accessories",12.69,Bad
"Sports and travel",548.73,Good
"Fashion accessories",306.81,Bad
"Sports and travel",335.90,Good
"Food and beverages",91.82,Bad
"Health and beauty",597.04,Good
"Home and lifestyle",772.38,Good
"Food and beverages",284.92,Bad
"Food and beverages",420.26,Good
"Food and beverages",450.10,Good
"Food and beverages",76.36,Bad
"Fashion accessories",32.14,Bad
"Health and beauty",485.04,Good
"Electronic accessories",48.51,Bad
"Home and lifestyle",84.63,Bad
"Electronic accessories",298.12,Bad
"Food and beverages",23.75,Bad
"Electronic accessories",31.75,Bad
"Sports and travel",36.55,Bad
"Sports and travel",92.73,Bad
"Sports and travel",135.36,Bad
"Electronic accessories",253.68,Bad
"Electronic accessories",43.87,Bad
"Home and lifestyle",951.83,Good
"Food and beverages",92.30,Bad
"Electronic accessories",488.99,Good
"Sports and travel",310.59,Bad
"Food and beverages",671.79,Good
"Sports and travel",457.38,Good
"Food and beverages",172.21,Bad
"Health and beauty",74.09,Bad
"Health and beauty",461.33,Good
"Home and lifestyle",147.67,Bad
"Home and lifestyle",536.84,Good
"Health and beauty",720.30,Good
"Fashion accessories",77.66,Bad
"Fashion accessories",195.26,Bad
"Fashion accessories",125.71,Bad
"Fashion accessories",597.63,Good
"Sports and travel",168.21,Bad
"Electronic accessories",152.71,Bad
"Health and beauty",273.42,Bad
"Sports and travel",280.04,Bad
"Sports and travel",99.54,Bad
"Health and beauty",79.67,Bad
"Home and lifestyle",214.14,Bad
"Sports and travel",266.03,Bad
"Electronic accessories",181.82,Bad
"Electronic accessories",69.41,Bad
"Sports and travel",520.41,Good
"Home and lifestyle",69.11,Bad
"Sports and travel",666.94,Good
"Food and beverages",121.57,Bad
"Fashion accessories",60.82,Bad
"Sports and travel",435.46,Good
"Home and lifestyle",216.85,Bad
"Food and beverages",152.02,Bad
"Electronic accessories",433.69,Good
"Home and lifestyle",118.06,Bad
"Food and beverages",551.12,Good
"Fashion accessories",75.94,Bad
"Health and beauty",97.42,Bad
"Sports and travel",256.78,Bad
"Sports and travel",760.45,Good
"Sports and travel",469.77,Good
"Fashion accessories",401.73,Good
"Food and beverages",92.56,Bad
"Electronic accessories",304.98,Bad
"Food and beverages",222.01,Bad
"Electronic accessories",246.49,Bad
"Electronic accessories",222.14,Bad
"Electronic accessories",69.67,Bad
"Electronic accessories",397.22,Good
"Health and beauty",535.72,Good
"Fashion accessories",310.72,Bad
"Health and beauty",277.14,Bad
"Fashion accessories",125.06,Bad
"Food and beverages",497.07,Good
"Health and beauty",96.14,Bad
"Food and beverages",814.38,Good
"Sports and travel",150.42,Bad
"Sports and travel",634.38,Good
"Home and lifestyle",188.00,Bad
"Food and beverages",404.65,Good
"Fashion accessories",334.48,Good
"Sports and travel",198.64,Bad
"Home and lifestyle",788.51,Good
"Fashion accessories",400.76,Good
"Electronic accessories",423.74,Good
"Electronic accessories",151.48,Bad
"Home and lifestyle",112.22,Bad
"Fashion accessories",625.91,Good
"Electronic accessories",422.73,Good
"Electronic accessories",276.95,Bad
"Fashion accessories",189.09,Bad
"Health and beauty",19.25,Bad
"Fashion accessories",265.10,Bad
"Food and beverages",932.34,Good
"Home and lifestyle",596.82,Good
"Sports and travel",152.78,Bad
"Sports and travel",86.25,Bad
"Electronic accessories",62.00,Bad
"Health and beauty",439.22,Good
"Food and beverages",40.34,Bad
"Food and beverages",85.74,Bad
"Health and beauty",20.11,Bad
"Food and beverages",939.54,Good
"Sports and travel",742.81,Good
"Fashion accessories",510.96,Good
"Home and lifestyle",93.29,Bad
"Sports and travel",663.30,Good
"Electronic accessories",125.66,Bad
"Health and beauty",374.41,Good
"Electronic accessories",722.23,Good
"Electronic accessories",139.92,Bad
"Health and beauty",141.75,Bad
"Home and lifestyle",77.77,Bad
"Health and beauty",287.91,Bad
"Sports and travel",680.15,Good
"Home and lifestyle",455.12,Good
"Sports and travel",103.04,Bad
"Electronic accessories",548.16,Good
"Fashion accessories",452.87,Good
"Home and lifestyle",608.08,Good
"Food and beverages",465.44,Good
"Sports and travel",543.75,Good
"Health and beauty",300.57,Bad
"Fashion accessories",206.81,Bad
"Food and beverages",297.80,Bad
"Fashion accessories",536.59,Good
"Electronic accessories",530.67,Good
"Fashion accessories",54.04,Bad
"Food and beverages",166.24,Bad
"Food and beverages",509.41,Good
"Electronic accessories",779.31,Good
"Health and beauty",794.65,Good
"Fashion accessories",187.87,Bad
"Home and lifestyle",314.06,Bad
"Food and beverages",374.80,Good
"Sports and travel",432.77,Good
"Food and beverages",225.79,Bad
"Electronic accessories",30.41,Bad
"Home and lifestyle",352.22,Good
"Sports and travel",588.36,Good
"Health and beauty",146.95,Bad
"Sports and travel",160.44,Bad
"Health and beauty",288.02,Bad
"Electronic accessories",451.36,Good
"Home and lifestyle",299.37,Bad
"Food and beverages",66.40,Bad
"Electronic accessories",289.93,Bad
"Health and beauty",633.11,Good
"Home and lifestyle",697.37,Good
"Electronic accessories",833.96,Good
"Health and beauty",579.84,Good
"Health and beauty",411.38,Good
"Food and beverages",98.03,Bad
"Food and beverages",323.15,Good
"Fashion accessories",728.11,Good
"Food and beverages",96.19,Bad
"Fashion accessories",209.77,Bad
"Fashion accessories",154.39,Bad
"Sports and travel",207.86,Bad
"Electronic accessories",557.72,Good
"Electronic accessories",215.00,Bad
"Health and beauty",273.05,Bad
"Electronic accessories",75.55,Bad
"Home and lifestyle",175.05,Bad
"Food and beverages",49.31,Bad
"Food and beverages",708.23,Good
"Home and lifestyle",63.91,Bad
"Health and beauty",326.26,Good
"Sports and travel",80.96,Bad
"Fashion accessories",209.62,Bad
"Sports and travel",233.52,Bad
"Home and lifestyle",271.29,Bad
"Electronic accessories",756.17,Good
"Health and beauty",125.52,Bad
"Health and beauty",266.65,Bad
"Sports and travel",41.08,Bad
"Food and beverages",91.56,Bad
"Health and beauty",888.41,Good
"Home and lifestyle",523.97,Good
"Food and beverages",89.07,Bad
"Electronic accessories",640.04,Good
"Fashion accessories",144.08,Bad
"Home and lifestyle",782.21,Good
"Electronic accessories",86.63,Bad
"Sports and travel",221.89,Bad
"Fashion accessories",684.92,Good
"Electronic accessories",830.37,Good
"Health and beauty",470.99,Good
"Health and beauty",291.44,Bad
"Food and beverages",253.26,Bad
"Food and beverages",313.74,Bad
"Electronic accessories",147.80,Bad
"Home and lifestyle",96.64,Bad
"Sports and travel",335.01,Good
"Home and lifestyle",461.29,Good
"Electronic accessories",55.88,Bad
"Electronic accessories",571.41,Good
"Food and beverages",456.29,Good
"Home and lifestyle",276.95,Bad
"Home and lifestyle",369.68,Good
"Health and beauty",46.68,Bad
"Food and beverages",269.54,Bad
"Food and beverages",55.04,Bad
"Food and beverages",209.56,Bad
"Home and lifestyle",427.81,Good
"Fashion accessories",495.32,Good
"Health and beauty",628.17,Good
"Fashion accessories",333.98,Good
"Fashion accessories",94.17,Bad
"Sports and travel",34.63,Bad
"Food and beverages",161.70,Bad
"Electronic accessories",37.61,Bad
"Health and beauty",512.19,Good
"Fashion accessories",381.39,Good
"Sports and travel",174.62,Bad
"Home and lifestyle",116.14,Bad
"Food and beverages",31.93,Bad
"Fashion accessories",17.09,Bad
"Electronic accessories",690.02,Good
"Sports and travel",16.11,Bad
"Food and beverages",348.71,Good
"Fashion accessories",58.22,Bad
"Sports and travel",388.29,Good
"Fashion accessories",163.61,Bad
"Sports and travel",432.99,Good
"Health and beauty",350.07,Good
"Food and beverages",446.96,Good
"Food and beverages",360.93,Good
"Home and lifestyle",397.85,Good
"Health and beauty",205.32,Bad
"Sports and travel",429.17,Good
"Health and beauty",125.72,Bad
"Sports and travel",44.59,Bad
"Health and beauty",357.59,Good
"Home and lifestyle",193.07,Bad
"Sports and travel",365.90,Good
"Fashion accessories",206.43,Bad
"Sports and travel",145.40,Bad
